FromEdgeID;ToEdgeID;RunTime
718428117#1;57936173#3;1014
718428117#1;223737429;1460
718428117#1;-461331989#0;1351
718428117#1;28819804;1105
718428117#1;-MA068;1141
718428117#1;23109073#1;202
718428117#1;52158843#1;819
718428117#1;-857983579;750
718428117#1;243102981;1233
718428117#1;806903754;688
718428117#1;385888165#4;953
718428117#1;-31002335#0;1033
718428117#1;138515677#4;935
718428117#1;256245721;273
718428117#1;710761406;781
718428117#1;30143978#1;411
718428117#1;-858123638#0;1062
718428117#1;4463221#1;390
718428117#1;451621867#1;698
718428117#1;-451621866;745
718428117#1;4392634#2;264
718428117#1;MA080;1143
718428117#1;-450086133;1000
718428117#1;32197350#0;928
718428117#1;139806486#2;113
718428117#1;-79701272#0;1075
718428117#1;30709383;1133
718428117#1;151043332#5;500
718428117#1;332306828#3;589
718428117#1;4442099#1;476
718428117#1;450189363;1265
207716520;E19.203;921
207716520;671403224#1;767
207716520;-140336718#0;520
207716520;30276434#1;695
207716520;914393586;767
207716520;4517104;560
207716520;-25418282;561
207716520;718428117#1;92
207716520;207716520;9
207716520;23044566;378
207716520;4368690;385
207716520;451458155;1220
207716520;375861848;904
207716520;-420483060#0;1152
207716520;24041366;859
207716520;455953261#1;1152
207716520;111251392;803
207716520;-333626093;809
207716520;4389557#1;759
207716520;42813669;1603
207716520;24735700;1422
207716520;456213456;918
207716520;231262268#0;1381
207716520;27606891#2;828
207716520;-10947989;1792
207716520;98410013#0;1796
207716520;172282359;393
207716520;148288810#2;515
207716520;76402289;712
207716520;461910870#2;537
207716520;30157285;310
207716520;24160797;349
207716520;4616321#2;440
207716520;-259536422;1099
207716520;-39496182#0;1405
207716520;MA047;995
207716520;-669433184;1228
207716520;4802807#2;1130
207716520;39473294;1446
207716520;41976565;1275
207716520;-671403217;826
207716520;-165465028#0;854
207716520;4486596#2;208
207716520;24673480;225
207716520;30699893;298
207716520;-469999015;755
207716520;469999020;312
207716520;120395207#1;656
207716520;30157290;300
207716520;469999032;79
207716520;30157292#1;298
207716520;-469999029;149
207716520;25369033#2;465
207716520;15926759;613
